artist_name,handle,notes
ENHYPEN,ENHYPENOFFICIAL,compact ENHYPEN does not match forHandle
Steve Lacy,wearesteve,official site wearesteve.net — SteveLacy handle is unused/wrong
Riley Green,RileyGreenMusic,forHandle
Lil Baby,LilBabyATL,forHandle
PARTYNEXTDOOR,PARTYOMO,Wikidata P2397 was a Topic channel
JENNIE,jennierubyjane,forHandle
Yung Miami,YungMiami305,forHandle
Karol G,karolg,official artist channel not KarolGVEVO
Katy Perry,katyperry,official artist channel not KatyPerryVEVO
Morgan Wallen,morganwallen,official artist channel not MorganWallenVEVO
Chris Stapleton,chrisstapleton,official artist channel not ChrisStapletonVEVO
Harry Styles,harrystyles,official artist channel not HarryStylesVEVO
The Killers,TheKillersMusic,official artist channel not TheKillersVEVO
Miguel,miguelofficial,official artist channel not MiguelVEVO
Drake,DrakeOfficial,@Drake is lowercase fan-style; @DrakeOfficial is the artist
BTS,BTS,resolves to BANGTANTV — not BTS JAPAN OFFICIAL
Ye,kanyewest,@ye is unrelated; Billboard name Ye = Kanye West
Eagles,EaglesBand,@Eagles is the Philadelphia NFL team
Michael Jackson,michaeljackson,Wikidata hit Michael R. Jackson (playwright)
"HUNTR/X: EJAE, Audrey Nuna & REI AMI",KPopDemonHunters,@huntrx is Troy Douglas HuntrX; chart act is KPop Demon Hunters
